"data";"1THB";"1USD";"1AUD";"1HKD";"1CAD";"1NZD";"1SGD";"1EUR";"100HUF";"1CHF";"1GBP";"1UAH";"100JPY";"1CZK";"1DKK";"100ISK";"1NOK";"1SEK";"1HRK";"1RON";"1BGN";"1TRY";"1ILS";"100CLP";"1PHP";"1MXN";"1ZAR";"1BRL";"1MYR";"1RUB";"10000IDR";"100INR";"100KRW";"1CNY";"1XDR"
2016-02-10;0,1114;3,9383;2,8006;0,5053;2,8418;2,6242;2,8297;4,4366;1,4261;4,0445;5,7095;0,1532;3,4271;0,1641;0,5945;3,1134;0,4624;0,4674;0,5806;0,9891;2,2684;1,3445;1,0195;0,5516;0,083;0,2106;0,2481;1,0131;0,9556;0,05;2,9257;5,8025;0,3295;0,5993;5,5265
2016-02-11;0,1112;3,9219;2,7609;0,5035;2,8077;2,6086;2,8208;4,4407;1,424;4,0541;5,6707;0,1525;3,522;0,164;0,595;3,1054;0,4577;0,4662;0,5822;0,9904;2,2705;1,3353;1,0099;0,5501;0,0825;0,2061;0,246;0,9988;0,947;0,0494;2,9126;5,7444;0,3257;0,5962;5,5334
2016-02-12;0,1098;3,9074;2,7763;0,5014;2,8099;2,6054;2,8035;4,4136;1,4264;4,0089;5,6825;0,152;3,4727;0,1632;0,5913;3,0918;0,4561;0,4666;0,5786;0,9865;2,2566;1,3342;1,0071;0,5487;0,0822;0,2045;0,2473;0,9786;0,9398;0,0492;2,896;5,7264;0,3239;0,5943;5,4781
2016-02-15;0,11;3,922;2,8035;0,5039;2,8373;2,6158;2,8033;4,396;1,4222;3,9935;5,6774;0,1466;3,443;0,1624;0,589;3,0882;0,4568;0,4642;0,5768;0,9833;2,2476;1,3307;1,0098;0,5557;0,0826;0,2074;0,248;0,9806;0,948;0,0505;2,9327;5,7584;0,324;0,6041;5,4812
2016-02-16;0,1107;3,9404;2,8226;0,5059;2,8588;2,6013;2,8121;4,4042;1,4201;3,9938;5,6979;0,1469;3,4588;0,1629;0,5901;3,095;0,4576;0,4655;0,5777;0,9849;2,2518;1,333;1,0079;0,5597;0,083;0,2096;0,2502;0,9869;0,9459;0,0509;2,9413;5,7583;0,3241;0,6046;5,4914
2016-02-17;0,1107;3,9431;2,8061;0,5064;2,8496;2,6017;2,8036;4,3905;1,4149;3,98;5,6455;0,1455;3,4575;0,1624;0,5882;3,0789;0,4564;0,4642;0,5764;0,9854;2,2448;1,3317;1,0105;0,5564;0,0828;0,2096;0,2499;0,9694;0,9366;0,051;2,9197;5,7611;0,3217;0,6041;5,4974
2016-02-18;0,1109;3,9416;2,825;0,5068;2,8794;2,6155;2,8125;4,3902;1,4168;3,9729;5,6364;0,1507;3,4634;0,1624;0,5882;3,0776;0,4603;0,466;0,5763;0,9851;2,2447;1,3288;1,0113;0,5626;0,083;0,2168;0,2556;0,9899;0,9491;0,0525;2,9209;5,7599;0,3217;0,6049;5,5049
2016-02-19;0,1106;3,9531;2,8101;0,5086;2,8711;2,6151;2,8111;4,383;1,4162;3,9714;5,6504;0,147;3,5008;0,1622;0,5873;3,0693;0,4605;0,4675;0,5754;0,9822;2,241;1,3314;1,0103;0,5624;0,083;0,2161;0,2567;0,982;0,9381;0,0517;2,9304;5,7463;0,3204;0,6061;5,5172
2016-02-22;0,1102;3,9391;2,8319;0,507;2,8636;2,624;2,8114;4,3655;1,4159;3,9668;5,5861;0,1453;3,4842;0,1615;0,5851;3,0614;0,459;0,4656;0,5719;0,9751;2,232;1,3389;1,0091;0,5634;0,0828;0,2177;0,2575;0,9799;0,9408;0,0518;2,9317;5,7418;0,3205;0,6042;5,4902
2016-02-23;0,111;3,9671;2,8708;0,5107;2,8881;2,6549;2,8207;4,3655;1,4206;3,9835;5,6025;0,1456;3,5424;0,1613;0,5851;3,0646;0,4603;0,4667;0,5723;0,9763;2,232;1,3511;1,0142;0,5731;0,0833;0,2186;0,2618;1,0051;0,9431;0,0524;2,9553;5,7902;0,322;0,6076;5,5044
2016-02-24;0,1115;3,9803;2,8569;0,5125;2,8865;2,6337;2,833;4,372;1,4105;4,0103;5,5486;0,1462;3,5566;0,1617;0,5859;3,0745;0,4585;0,4675;0,573;0,9769;2,2353;1,3537;1,014;0,572;0,0835;0,2183;0,2601;1,0063;0,9401;0,0516;2,9679;5,8065;0,3217;0,6089;5,5219
2016-02-25;0,1113;3,9705;2,8479;0,511;2,896;2,6468;2,8284;4,3739;1,4107;4,0069;5,5324;0,1455;3,5415;0,1618;0,5862;3,0716;0,458;0,4673;0,5738;0,9786;2,2363;1,3524;1,0145;0,5719;0,0833;0,2177;0,2525;1,0036;0,9414;0,052;2,9613;5,7764;0,3199;0,6077;5,5204
2016-02-26;0,111;3,9545;2,8559;0,5091;2,9276;2,6718;2,8255;4,357;1,4036;3,9888;5,5475;0,1457;3,5014;0,161;0,584;3,0694;0,4581;0,4646;0,5714;0,9761;2,2277;1,3504;1,0137;0,5727;0,0833;0,219;0,2535;1,0001;0,9404;0,0528;2,9582;5,7552;0,3207;0,6051;5,4892
2016-02-29;0,1121;3,9935;2,8478;0,5138;2,9392;2,6339;2,8409;4,3589;1,403;3,9922;5,5376;0,1471;3,5379;0,1611;0,5843;3,0794;0,4587;0,4679;0,5717;0,975;2,2286;1,3485;1,0221;0,5761;0,084;0,2184;0,2477;0,9996;0,9486;0,0524;2,9865;5,8356;0,3225;0,6099;5,4991
2016-03-01;0,112;3,9924;2,8517;0,5136;2,9489;2,6335;2,8463;4,3365;1,4026;3,9909;5,571;0,1474;3,5298;0,1603;0,5813;3,0657;0,4606;0,4644;0,5687;0,971;2,2172;1,3556;1,0228;0,573;0,0843;0,2212;0,2536;0,994;0,9569;0,0541;2,9908;5,8693;0,3234;0,6096;5,5015
2016-03-02;0,1121;3,9861;2,8746;0,5127;2,9613;2,6326;2,8413;4,3333;1,3988;3,9933;5,5505;0,1496;3,4863;0,1602;0,581;3,0689;0,4604;0,4634;0,5698;0,9719;2,2156;1,3571;1,0244;0,5784;0,0843;0,2226;0,2535;1,017;0,9569;0,0538;2,9993;5,894;0,325;0,6086;5,5088
2016-03-03;0,1121;3,9805;2,9112;0,5119;2,9625;2,6638;2,8581;4,325;1,3997;3,9891;5,6045;0,1518;3,4927;0,1599;0,5799;3,0598;0,4596;0,4625;0,5687;0,9703;2,2113;1,3621;1,0225;0,5812;0,0846;0,2226;0,2543;1,0231;0,9633;0,0539;3,0071;5,9081;0,3276;0,6087;5,499
